stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-1801,개봉,37.494590000,126.858680000
RS_ACC1_S-1-1802,오류동,37.494530000,126.845370000
RS_ACC1_S-1-1803,역곡,37.485180000,126.811500000
RS_ACC1_S-1-1804,부천,37.484050000,126.782690000
RS_ACC1_S-1-1805,송내,37.487600000,126.753660000
RS_ACC1_S-1-1806,부평,37.489460000,126.724480000
RS_ACC1_S-1-1807,백운,37.483660000,126.707700000
RS_ACC1_S-1-1808,동암,37.471410000,126.702900000
RS_ACC1_S-1-1809,주안,37.465090000,126.679400000
RS_ACC1_S-1-1810,제물포,37.466770000,126.656670000
RS_ACC1_S-1-1811,동인천,37.475280000,126.632800000
RS_ACC1_S-1-1812,인천,37.476200000,126.616830000
RS_ACC1_S-1-1813,구일,37.496760000,126.870790000
RS_ACC1_S-1-1814,소사,37.482750000,126.795440000
RS_ACC1_S-1-1815,부개,37.488420000,126.741090000
RS_ACC1_S-1-1816,간석,37.464740000,126.694180000
RS_ACC1_S-1-1817,도원,37.468450000,126.642710000
RS_ACC1_S-1-1821,온수,37.492360000,126.823820000
RS_ACC1_S-1-1822,중동,37.486560000,126.764840000
RS_ACC1_S-1-1823,도화,37.466070000,126.668670000
RS_ACC1_S-1-1846,수원,37.266230000,127.000200000
RS_ACC1_S-1-1847,서울숲,37.543620000,127.044710000
RS_ACC1_S-1-1848,압구정로데오,37.527380000,127.040530000
RS_ACC1_S-1-1849,강남구청,37.516660000,127.041460000
RS_ACC1_S-1-1850,선정릉,37.510740000,127.043660000
RS_ACC1_S-1-1851,가천대,37.448610000,127.126700000
RS_ACC1_S-1-1852,태평,37.440020000,127.127710000
RS_ACC1_S-1-1853,모란,37.432090000,127.129120000
RS_ACC1_S-1-1854,야탑,37.411190000,127.128720000
RS_ACC1_S-1-1855,서현,37.385130000,127.123590000
RS_ACC1_S-1-1856,수내,37.378460000,127.114320000
RS_ACC1_S-1-1857,정자,37.366010000,127.108080000
RS_ACC1_S-1-1858,미금,37.350080000,127.108910000
RS_ACC1_S-1-1859,오리,37.339820000,127.108940000
RS_ACC1_S-1-1860,이매,37.395560000,127.128210000
RS_ACC1_S-1-1861,보정,37.312750000,127.108200000
RS_ACC1_S-1-1862,죽전,37.324750000,127.107400000
RS_ACC1_S-1-1863,구성,37.298970000,127.105660000
RS_ACC1_S-1-1864,신갈,37.286100000,127.111310000
RS_ACC1_S-1-1865,기흥,37.275070000,127.115920000
RS_ACC1_S-1-1866,상갈,37.261810000,127.108850000
RS_ACC1_S-1-1867,청명,37.259490000,127.078930000
RS_ACC1_S-1-1868,영통,37.251570000,127.071390000
RS_ACC1_S-1-1869,망포,37.245800000,127.057350000
RS_ACC1_S-1-1870,매탄권선,37.252760000,127.040570000
RS_ACC1_S-1-1871,수원시청,37.261910000,127.030740000
RS_ACC1_S-1-1872,매교,37.265480000,127.015680000
RS_ACC1_S-1-1873,고색,37.249680000,126.980360000
RS_ACC1_S-1-1874,오목천,37.243410000,126.963980000
RS_ACC1_S-1-1875,어천,37.250100000,126.908810000
RS_ACC1_S-1-1876,야목,37.261300000,126.883960000
RS_ACC1_S-1-1877,사리,37.290890000,126.857140000
RS_ACC1_S-1-1878,달월,37.379680000,126.745180000
RS_ACC1_S-1-1879,월곶,37.391770000,126.742700000
RS_ACC1_S-1-1880,소래포구,37.400950000,126.733520000
RS_ACC1_S-1-1881,인천논현,37.400610000,126.722480000
RS_ACC1_S-1-1882,호구포,37.401640000,126.708630000
RS_ACC1_S-1-1883,남동인더스파크,37.407720000,126.695220000
RS_ACC1_S-1-1884,원인재,37.413110000,126.686550000
RS_ACC1_S-1-1885,연수,37.417800000,126.678940000
RS_ACC1_S-1-1886,송도,37.428510000,126.657770000
RS_ACC1_S-1-1888,인하대,37.448490000,126.649620000
RS_ACC1_S-1-1889,숭의,37.460790000,126.638300000
RS_ACC1_S-1-1890,신포,37.468740000,126.623850000
RS_ACC1_S-1-1891,인천,37.476600000,126.617450000
RS_ACC1_S-1-1901,방학,37.667500000,127.044270000
RS_ACC1_S-1-1902,도봉,37.679560000,127.045600000
RS_ACC1_S-1-1903,도봉산,37.689560000,127.046050000
RS_ACC1_S-1-1904,망월사,37.709910000,127.047460000
RS_ACC1_S-1-1905,회룡,37.724380000,127.047370000
RS_ACC1_S-1-1906,의정부,37.738420000,127.045960000
RS_ACC1_S-1-1907,가능,37.748580000,127.044210000
RS_ACC1_S-1-1908,녹양,37.759380000,127.042290000
RS_ACC1_S-1-1909,양주,37.774380000,127.044710000
RS_ACC1_S-1-1910,덕계,37.818490000,127.056490000
RS_ACC1_S-1-1911,덕정,37.843190000,127.061280000
RS_ACC1_S-1-1912,지행,37.892330000,127.055720000
RS_ACC1_S-1-1913,동두천중앙,37.901890000,127.056480000
RS_ACC1_S-1-1914,보산,37.913700000,127.057280000
RS_ACC1_S-1-1915,동두천,37.927880000,127.054790000
RS_ACC1_S-1-1916,소요산,37.948100000,127.061030000
RS_ACC1_S-1-1948,원흥,37.650660000,126.872640000
RS_ACC1_S-1-1950,삼송,37.653080000,126.895560000
